0,Maruti Wagon R LXI CNG,2010,72000,1,0,1,37.24,998,58.16,5,6287.341761606745,2138.5
1,Hyundai Creta 1.6 CRDi SX Option,2015,41000,4,0,1,19.67,1582,126.2,5,26006.202600182347,15275.0
2,Honda Jazz V,2011,46000,3,0,1,18.2,1199,88.7,5,10521.42,5499.0
3,Maruti Ertiga VDI,2012,87000,4,0,1,20.77,1248,88.76,7,14083.170465229658,7332.0
4,Audi A4 New 2.0 TDI Multitronic,2013,40670,4,1,2,15.2,1968,140.8,5,35618.00081359036,21678.28
5,Hyundai EON LPG Era Plus Option,2012,75000,2,0,1,29.54,814,55.2,5,7387.929343294687,2871.7000000000003
6,Nissan Micra Diesel XV,2013,86999,4,0,1,23.08,1461,63.1,5,9497.388874863238,4277.0
7,Toyota Innova Crysta 2.8 GX AT 8S,2016,36000,4,1,1,11.36,2755,171.5,8,25662.0,21385.0
8,Volkswagen Vento Diesel Comfortline,2013,64430,4,0,1,20.54,1598,103.6,5,12615.720356312404,6354.400000000001
9,Tata Indica Vista Quadrajet LS,2012,65932,4,0,2,22.3,1248,74.0,5,6654.204288836059,2382.9
10,Maruti Ciaz Zeta,2018,25692,3,0,1,21.56,1462,103.25,5,13014.300000000001,12158.9
11,Honda City 1.5 V AT Sunroof,2012,60000,3,1,1,16.8,1497,116.3,5,11313.358384648342,5486.780000000001
12,Maruti Swift VDI BSIV,2015,64424,4,0,1,25.2,1248,74.0,5,13349.44541077103,6843.2
13,Land Rover Range Rover 2.2L Pure,2014,72000,4,1,1,12.7,2179,187.7,5,52603.73582430757,32994.0
14,Land Rover Freelander 2 TD4 SE,2012,85000,4,1,2,18.386848433242506,2179,115.0,5,35177.765780915186,21385.0
15,Mitsubishi Pajero Sport 4X4,2014,110000,4,0,1,13.5,2477,175.56,7,39116.22,18330.0
16,Honda Amaze S i-Dtech,2016,58950,4,0,1,25.8,1498,98.6,5,12982.582883541718,6598.8
17,Maruti Swift DDiS VDI,2017,25000,4,0,1,28.4,1248,74.0,5,14064.827338868194,7319.780000000001
18,Renault Duster 85PS Diesel RxL Plus,2014,77469,4,0,1,20.45,1461,83.8,5,14706.83676151949,7747.48
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,4,1,1,14.84,2143,167.62,5,54438.04846045414,34216.0
20,BMW 3 Series 320d,2014,32982,4,1,1,22.69,1995,190.0,5,58497.14,22668.100000000002
